"","ID","empirical","comment","loop_concept","level","perspective","dim1","dim2","dim3","dim4","dim5","actor_TEXT","viewpoint_TEXT","topic_TEXT","other_TEXT","outlet_TEXT","def_yn","defcit","def","n_studies","n_study","dep_yn","ca_yn","ind_yn","Q139","n_coders","Q141","Q143","Q145","n_coders2","rel_yn","rel_meth","rel_criterion","rel_morethanone","sample_size","rel_size","rel_n_coders","rel_n_coders2","med1","measured_yn","Q25_1_TEXT","med2","Q53","Q54","Q55","Q56","Q57","Q59","Q60","Q61","Q62","Q63","Q64","Q65","Q66","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q77","Q78","Q79","Q80","med3","Q82","Q83","Q84","Q85","Q87","Q88","Q89","Q90","Q91","Q92","Q93","Q96","Q97","Q98","Q99","loop_stat_variable","stat_dep","stat_group_sig","stat_group_sig_dep","stat_grouptext","stat_ind","stat_posneg","stat_sig","stat_test","dimension","autom","math","measurecit","method","metr","metr2","procedure","qual","abstract","author","doi","outlet","title_full","year"
"1","000244@2018.nl","No","Pluralism and diversity were used interchangeably","div","media_gen","supply","viewpoint","outlet","other",NA,NA,"","diversity of ideas","","cultural diversity","","No","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viewpoint",NA,NA,NA,NA,NA,NA,NA,NA,"Based on a critical reading of the International Panel on Social Progress (IPSP) report on MEDIA and communication, this article presents various issues central to MEDIA democracy in Latin America. The response to the IPSP report examines four key element","G{\'{o}}mez, G","10.1177/1742766518776681","Global MEDIA and Communication","{A Latin American response to the IPSP chapter on MEDIA and communication}","2018"
"2","000243@2018.nl","No","Uses pluralism and diversity almost interchangeably (diversity more about the specific content while pluralism is more on the macro level)","div","media_mark","supply,exposure","viewpoint","outlet",NA,NA,NA,"","different viewpoints","","","ownership dispersal/source diversity","Yes","Baker, C.E.: Media Concentration and Democracy: Why Ownership Matters. Cambridge University Press, Cambridge (2006)
van Cuilenburg, J.: Media diversity, competition and concentration: concepts and theories. In: de Bens, E. (ed.) Media Between Culture and Commerce. Intellect Books (2000)
Valcke, P.: Looking for the user in media pluralism regulation: the potential and limits of regulating
exposure diversity. J. Inf. Policy 1, 287–320 (2011)
Helberger, N.: Diversity by design. J. Inf. Policy 1, 441–469 (2011)
Hitchens, L.: Media regulatory frameworks in the age of broadband: securing diversity. J. Inf. Policy
1, 217–240 (2011)
Napoli, P.M.: Exposure diversity reconsidered. J. Inf. Policy 1, 246–259 (2011)","The micro layer refers to the content that materialises the function of media. In this discourse, diversity means that ultimately several dif- ferent viewpoints are represented by the media, and the macro and meso layers are tools to achieve this end.36 (In contrast to this view, Edwin Baker holds that ‘source diversity—effectively ownership dispersal—is directly and substantively central’.37)

Beyond these three layers it is worth introducing a fourth layer: the user level. Others have called this exposure diversity,38 or as Peggy Valcke formulated the three levels: pluralism of supply, distribution and use.39 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viewpoint",NA,NA,NA,NA,NA,NA,NA,NA,"This paper attempts to put European MEDIA freedom and pluralism into the context of European legislation and law-enforcement. It analyses how the European Convention on Human Rights can protect MEDIA freedom and pluralism, and whether and how the European","Bayer, J","10.1007/s12027-018-0508-5","ERA Forum","{MEDIA freedom and pluralism: legislation and enforcement at the European level}","2018"
"3","000610@2018.nl","No","Gives an overview of the democratic foundations of different forms of diversity (and especially: exposure diversity). A lot about conceptualisation ","div","media_gen","supply,exposure","viewpoint","outlet",NA,NA,NA,"","different viewpoints","","","diverse mix of sources ","Yes","(McQuail, 1992); Helberger, 2012; Napoli, 1999; Valcke, 2011;Karppinen, 2013; Napoli, 1999; Neuberger & Lobgis, 2010; Valcke, 2004;Young, 2000;Burri, 2016; Helberger, 2012; Korthals, 2013; Rieder (2009)","As one of the central communication policy goals, diversity refers to the idea that in a democratic society informed citizens collect information about the world from a diverse mix of sources with different viewpoints so that they can make balanced and well-con- sidered decisions.

As we discuss below, there is no commonly accepted definition of exposure diversity or the possible policy objectives behind it, even in aca- demic literature.

Any initiative to promote more diverse exposure to information will first have to deal with the question of what ‘diverse exposure’ actually is. In debates on media diversity, exposure diversity is used to refer to the content that the audience actually selects, as opposed to all the content that is available (McQuail, 1992)

discussions around media diversity have tended to focus primarily on the supply side (the aspects of source and content diversity) and questions of what would characterize a diverse market structure or diverse content offers (Helberger, 2012; Napoli, 1999; Valcke, 2011)

Despite decades of debate on diver- sity as a policy objective, however, there is no consensus on a generally accepted, consist- ent definition of what constitutes ‘diversity’ or ‘pluralism’, even at the level of supply (Karppinen, 2013; Napoli, 1999; Neuberger & Lobgis, 2010; Valcke, 2004)

Firstly, exposure diversity can be defended from the perspective of the traditional liberal ideals of individual autonomy and consumer choice. The possible benchmarks and criteria used to identify the desirable level and form of exposure diversity would thus include aspects such as user satisfaction and awareness of options and choices.

Secondly, exposure to diverse information is commonly justified from the perspective of inclusive public debate. Possible benchmarks and criteria to assess exposure diversity from the deliberative perspective include the reciprocity and inclusive- ness of public discourse – meaning that debates should be open to all and participants should be willing to exchange ideas and viewpoints, and even change their opinion when faced with new arguments or evidence

Thirdly, exposure diversity can also be justified from the perspective of more radical agon- istic or adversarial conceptions of democracy. Exposure diversity can be seen as a corrective to the tendency of public debates to be dominated by existing elites and powerful interests. This is achieved particularly by con- testing the boundaries of mainstream public debate and promoting exposure to critical voices and disadvantaged views that otherwise might be silenced in the public debate (see e.g., Young, 2000)

the modern challenges to the realization of media diversity as a policy goal lie less and less in guaranteeing a diversity of supply, and more in the quest to create the conditions under which users can actually find and choose between diverse content (Burri, 2016; Helberger, 2012; Korthals, 2013, p. 35).

However, these recent discussions again lack a clear normative conception of exposure diversity. Accordingly, acknowledging the need for such a normative discussion to inform not only law and policy-makers but also designers could be the first step. As Bernhard Rie- der (2009, p. 134) remarks, ‘without a clear normative standpoint it is difficult to formulate suggestions about how search ought to work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viewpoint",NA,NA,NA,NA,NA,NA,NA,NA,"Personalized recommendations in search engines, SOCIAL MEDIA and also in more traditional MEDIA increasingly raise concerns over potentially negative consequences for DIVERSity and the quality of public discourse. The algorithmic filtering and adaption of","Helberger, N and Karppinen, K and D'Acunto, L","10.1080/1369118X.2016.1271900","Information Communication and Society","{Exposure DIVERSity as a design principle for recommender systems}","2018"
"4","000656@2018.nl","No","Not really mentioning diversity much, not an empirical study but also not conceptualising much","div","media_gen","supply","other",NA,NA,NA,NA,"","","","cultural diversity","","No","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other",NA,NA,NA,NA,NA,NA,NA,NA,"This article addresses the structural historical conditions of the Mexican communication system (MCS) in relation to the process of its democratisation. In order to analyse this process of democratisation, the research focused on the struggles of the thir","G{\'{o}}mez, R"," ","TripleC","{The Mexican third sector of the MEDIA: The long run to democratise the Mexican communication system}","2018"
"5","000837@2017.nl","No","Pluralism and diversity are used synonymously (no difference made). Not much of a definition etc although it is supposed to be the main focus of the article","div","media_gen","supply","viewpoint","other",NA,NA,NA,"","diversity of voices","","cultural diversity","","Yes","","analyse the problem of diversity – cultural diversity, diversity of cultural expressions and pluralism – in the global context

Our perspective in this research is to assess, above all, the dimension of the communicational and cultural diversity of globalisation

Therefore, cultural and media policies cannot be separated because the basic principle of both still is the diversity of sources of information, of media ownership and of the independence of public service.

Will digital media be different from classic media regarding cultural diversity (using the concept in a broad sense) on the cultural, socio-economic and political spectrum? More specifically, in the context of the diversity of voices in the network, of political diversity and “polarisation”

that is in our perspective, to realise the extent to which we can speak of “liberated voices” or of openness to the plurality and diversity of voices of the communities of citizens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viewpoint",NA,NA,NA,NA,NA,NA,NA,NA,"The issues of cultural DIVERSity and the PLURALity of voices in the current digital and global environment are raising new challenges beyond those already identified in the context of migration from classical MEDIA to the internet galaxy. If, with traditi","C{\'{a}}dima, F R","10.26619/1647-7251.8.2.7","Janus.net","{MEDIA, DIVERSity and globalisation in the digital age}","2017"
"6","000926@2017.nl","No","Talks about how to access diversity and pluralism (mostly used synonymously here) in the digital age by using social haring metrics","div","media_2sec","exposure","outlet","other",NA,NA,NA,"","","","cultural diversity","","Yes","Boczkowski and Peer 2011;Song 2016;","Second, we consider that there is value in considering the diversity of online news
sharing in terms of socio-demographic indicators of high-profile social media accounts,
or digital influencers, as these can assist us in investigating the relative representation of
various ethnicities, the presence of minority, community and public service media, local
and regional media in the sharing media system, and public participation via comments.

Here we wanted to know what types of news were most
shared internationally, as a way of gauging media diversity, and to reassess research
that suggest audiences prefer soft, celebrity, sport and lifestyle-oriented content
(Boczkowski and Peer 2011).

This statement triggers many questions about how we
might then analyse the diversity of any one media system; about measuring, for example,
representation, access, available content choices and impact for audiences.

Other market-oriented researchers have begun to use news analytics to
ask more nuanced questions such as “how diverse is the news that people are consuming
around the time of major breaking news events?” like the Paris attacks, the San Bernardino
shootings or the presidential debates (Song 2016).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other",NA,NA,NA,NA,NA,NA,NA,NA,"While the term churnalism in this special issue speaks to the negative impacts of extensive NEWS re-use, one pervasive form of NEWS redistribution, SOCIAL MEDIA NEWS sharing, has had the more positive connotations of creative engagement, political partici","Dwyer, T and Martin, F","10.1080/21670811.2017.1338527","Digital JOURNALISm","{Sharing NEWS Online: SOCIAL MEDIA NEWS analytics and their implications for MEDIA PLURALism policies}","2017"
"7","001425@2017.nl","No","Does not really define or talk about diversity a lot","div","media_gen","supply,exposure","other",NA,NA,NA,NA,"","","","diversity of content (no further specification)","","Yes","Napoli, 2001; Napoli, 1999; Napoli (2011)","Media scholars,
critics, and policy-makers have used the concept of diversity as a normative
goal for democratic media. A well-functioning media system has frequently
been associated with the extent to which it facilitates the dissemination of a
large array of ideas and viewpoints from a diverse range of sources, in order to
foster the existence of an informed citizenry, an environment of inclusiveness
and, ultimately, stable and effective self-governance (Napoli, 2001).

Translating this so-called “diversity principle” into media system
assessment has often taken the form of efforts to assess the range of sources
and viewpoints represented in traditional mass media outlets (Napoli, 1999).

The diversity of content on the Internet does not translate to
the diversity of reception. As Napoli (2011, p. 246) notes, “with all of the
information outlets currently available, focusing on source and content
diversity is becoming less important than understanding the information that
is actually consumed by media users.” One of the key challenges, then, is to
reconcile the mass media era focus on the system – diversity – and the newly
re-emerged focus on the rights of the individual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other",NA,NA,NA,NA,NA,NA,NA,NA,"This article addresses the gap between MEDIA reform movements and support for public service MEDIA (PSM). It argues that the ""critical juncture"" created by the challenges of digitalization has shifted the focus from DIVERSity to communication rights as a","Horowitz, M A and Nieminen, H","10.12795/IC.2017.i01.04","IC Revista Cientifica de Informacion y Comunicacion","{DIVERSity and rights. Connecting MEDIA reform and public service MEDIA}","2017"
"8","001505@2017.nl","No","Article on how to conceptualise and measure (qualitatively) viewpoint diversity in media content; article with a lot of very detailed information, might be interesting to code it again later","div","media_gen","supply","viewpoint",NA,NA,NA,NA,"","","","","","Yes","Voakes et al., 1996 (Napoli, 1999); Benson, 2009;Hayes and Guardino, 2010; Humprecht and Büchel, 2013; Muschert, 2009; Ferree et al., 2002; Holcomb et al., 2011; Hayes and Guardino, 2010; Bennett, 1990; Hanitzsch and Mellado, 2011; Hayes and Guardino, 2010; Baden and Springer, 2014; Matthes and
Kohring, 2008;","At the same time, the focal matter of contention
– the diversity of viewpoints – notoriously eludes definition and measurement (Benson,
2009). Specifically, it remains unclear which observed variations in the news meaningfully
contribute to viewpoint diversity (Napoli, 1999)

Focusing on the diversity of news content (Napoli, 1999), we review available
research and theorizing to discuss the concept’s normative relevance and operational
specification.

While most conceptualizations of democratic debates depend on some notion of viewpoint
diversity, they emphasize different aspects, and differ in how much diversity is
deemed adequate

In our view, speaker-oriented approaches to viewpoint diversity offer little help for
deciding whose viewpoints should be represented: they either externalize the problem
by privileging positional elites, or implicitly refer to content-based criteria by inviting
speakers expected to contribute different interpretations. By contrast, content-oriented
views approximate the representation of all relevant aspects of a concern: they provide
both measures and criteria for discriminating valuable from redundant contributions

Most available measures of viewpoint diversity
access the diversity of interpretations only indirectly (Voakes et al., 1996)

Other studies assess viewpoint diversity using content analytic methodology (Hayes and Guardino, 2010; Humprecht and Büchel, 2013;
Muschert, 2009). However, it is not always transparent how their indicators were chosen
and can validly and relatively exhaustively capture the available interpretations (Voakes
et al., 1996).

However, diverse sources may
echo the same few interpretations; likewise, few actors can present a wider or narrower
diversity of viewpoints (Ferree et al., 2002; Holcomb et al., 2011; Voakes et al., 1996

Among those approaches focusing on the diversity of news content, three related strategies
emphasize the tone or political position represented in the news: in the simplest
case, viewpoint diversity is considered high if official viewpoints are contrasted against
some counterframes (Bennett, 1990; Hanitzsch and Mellado, 2011; Hayes and Guardino,
2010)

A slightly more differentiated variant assesses the diversity of tones
attached to political issues (Hayes and Guardino, 2010).

A third approach codes political slant (Ho and Quinn, 2008; Pritchard, 2002). At
least in multiparty systems, this approach can distinguish also beyond two interpretations,
albeit in rather coarse grain.

In this article, we consider all frames as diverse that contribute to different interpretative
repertoires

A first approach is to simply determine
the number of distinct patterns in which the respective logics are used for specific framing
functions (number of viewpoints) – for example, by applying some clustering/topic
modeling or, dimension reduction technique (Baden and Springer, 2014; Matthes and
Kohring, 2008).

Therefore, second,
we can assess the uniqueness of ‘entries’ for the different ‘slots’ in constructed
frames (viewpoint variability): a repertoire wherein each ‘slot’ is uniquely assigned has
lower viewpoint diversity than one allowing variable entries to be combined without
breaking coherence.

Third, we can derive
another criterion of viewpoint diversity from the assumptions required to render detected
repertoires coherent (viewpoint distinctness): assumptions made by different repertoires
can overlap (e.g. sharing moral evaluation standards)

A debate wherein all advanced repertoires
are at least passively compatible is, accordingly, less diverse than one that includes
viewpoints that cannot simultaneously be accepted. If we apply such measures alongside
the more conventional coding of actors represented in the coverage, not only can we
assess whether and when additional speakers increase the diversity of viewpoints represented",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"outlet",NA,NA,NA,NA,NA,NA,NA,NA,"JOURNALIStic NEWS coverage plays an essential role for providing an audience with a DIVERSe, multifaceted perspective upon public affairs. However, in the scholarly debate, most measures of viewpoint DIVERSity do not distinguish between statements raising","Baden, C and Springer, N","10.1177/1464884915605028","JOURNALISm","{Conceptualizing viewpoint DIVERSity in NEWS discourse}","2017"
"9","002045@2016.nl","No","Risk assessment of media pluralism in Botswana, drawing from a legal framework on how to assess pluralism on different dimensions (also mentioning the media pluralism monitor)","div","media_mark","supply","other",NA,NA,NA,NA,"","","","regional and cultural diversity","","Yes","","The right to information enables the media to have access to a wide range of information culminating in diversity of media content

Intellectual and ideological diversity in the print media is therefore unsatisfactory. There is only one regional newspaper and no community newspapers. The specific informational needs of rural audiences are not adequately catered for in the newspapers. In addition, there is no single paper published in an indigenous language. Regional and cul- tural diversity is lacking in the print media sector.

States have an obligation to take appropriate action to prevent undue dominance of concentration by privately controlled media groups in monopolistic situations that may be harmful to a diversity of sources and views.

media functions describes diversity of media in relation to functions, including providing information, edu- cation and entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other",NA,NA,NA,NA,NA,NA,NA,NA,"Democracy is said to thrive on MEDIA PLURALism. A PLURAListic MEDIA promotes free debate of DIVERSe political views and opinions in a democratic political system. While MEDIA PLURALism is an indispensable element of a democratic society, measuring it is a","Balule, B T","10.1080/03050718.2015.1110496","Commonwealth Law Bulletin","{Promoting and safeguarding MEDIA PLURALism in Botswana: an assessment of legal risks}","2016"
"10","002230@2015.nl","No","Discusses how the perception of what a filter bubble is changes between different democratic models and in the same way do the strategies in which filter bubbles can be conquered differ. Gives a nice overview about what filter bubbles are and why they might be a problem (from different normative perspectives). Does however not talk about measurement etc","div","media_gen","exposure","viewpoint",NA,NA,NA,NA,"","viewpoint diversity","","","","No","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viewpoint",NA,NA,NA,NA,NA,NA,NA,NA,"It has been argued that the Internet and SOCIAL MEDIA increase the number of available viewpoints, perspectives, ideas and opinions available, leading to a very DIVERSe pool of information. However, critics have argued that algorithms used by search engin","Bozdag, E and van den Hoven, J","10.1007/s10676-015-9380-y","Ethics and Information Technology","{Breaking the FILTER BUBBLE: democracy and design}","2015"
