"","ID","loop_concept","def","cit","actor","viewpoint","topic","outlet","other"
"1","000049@2018.nl","div","As noted by Van Cuilenburg (1999, 188), content diversity corresponds to the “heterogeneity
of media content in terms of one or more specified characteristics”.

This conceptualisation, originally proposed by McQuail and Van
Cuilenburg (1983), is similar to the one used by Baden and Springer (2015) and by Benson
(2009, 406), who defines content diversity in terms of “institutional” and “ideological multiperspectivalness”.
Similarly, Voakes et al. (1996) examine content diversity as the variety of
news sources and the dispersion of viewpoints in the news.","McQuail and Van Cuilenburg (1983)
Baden and Springer (2015)
Benson (2009, 406)
Voakes et al. (1996)","actor diversity","viewpoint diversity",NA,NA,NA
"2","000063@2018.nl","div","Media agenda diversity can be conceptualized as the distribution of attention among
a given set of discrete object categories in a news discourse (Tan and Weaver, 2013).","Tan and Weaver, 2013","companies in the media agenda",NA,NA,NA,NA
"3","000142@2018.nl","div","Napoli defines three different dimensions of
information diversity; source diversity, content diversity, and exposure diversity:
- Source diversity is defined as the diversity in outlets, program owners or top
URLs visited in this case.
- Content diversity is characterized by diversity in content format, demographic
(racial, gender, ethnic) and idea-viewpoint (social, cultural, and political).
- Exposure diversity is defined by audience reached and that users consumed a
diverse set of items.","Bozdag et al. (2014)
Napoli (1999)",NA,NA,NA,NA,NA
"4","000143@2018.nl","div","We use diversity to refer to having
used at least one left-leaning and one right-leaning online news source in the last
week. This is therefore a measure of “horizontal” diversity, as it refers to diversity of
news sources, rather than the “vertical” diversity that may be found within content
from the same source (Hellman 2001)",NA,NA,"political diversity",NA,NA,NA
"5","000149@2018.nl","div","The normative claim behind these understandings of news diversity is that news media should reflect a variety of perspectives within debates (Benson 2013; van Hoof et al. 2014).
Based on this understanding, many studies consider the diversity of political (elite) actors represented in the news media (Ho and Quinn 2009; Pritchard 2002). They investi- gate the diversity of speakers in the news coverage produced by individual outlets to
determine whether there is a balanced representation of political interests

Another understanding of diversity underlying these two models is operationalized as viewpoint diversity (Ho and Quinn 2009; Pritchard 2002). It is argued that different interpretations of a complex reality can exist simultaneously and that the level of careful reflection on these interpretations is a crucial measure of a debate’s quality.

Finally, it is important to recognize that different understandings of diversity depend on the normative perspective taken, which in turn affects empirical measurements of diver- sity (van Cuilenburg 2007).","van Cuilenburg 2007; Benson 2013; van Hoof et al. 2014; Ho and Quinn 2009; Pritchard 2002","diversity of actors","diversity of viewpoints",NA,NA,"diversity of regions"
"6","000243@2018.nl","div","The micro layer refers to the content that materialises the function of media. In this discourse, diversity means that ultimately several dif- ferent viewpoints are represented by the media, and the macro and meso layers are tools to achieve this end.36 (In contrast to this view, Edwin Baker holds that ‘source diversity—effectively ownership dispersal—is directly and substantively central’.37)

Beyond these three layers it is worth introducing a fourth layer: the user level. Others have called this exposure diversity,38 or as Peggy Valcke formulated the three levels: pluralism of supply, distribution and use.39 
","Baker, C.E.: Media Concentration and Democracy: Why Ownership Matters. Cambridge University Press, Cambridge (2006)
van Cuilenburg, J.: Media diversity, competition and concentration: concepts and theories. In: de Bens, E. (ed.) Media Between Culture and Commerce. Intellect Books (2000)
Valcke, P.: Looking for the user in media pluralism regulation: the potential and limits of regulating
exposure diversity. J. Inf. Policy 1, 287–320 (2011)
Helberger, N.: Diversity by design. J. Inf. Policy 1, 441–469 (2011)
Hitchens, L.: Media regulatory frameworks in the age of broadband: securing diversity. J. Inf. Policy
1, 217–240 (2011)
Napoli, P.M.: Exposure diversity reconsidered. J. Inf. Policy 1, 246–259 (2011)","","different viewpoints","","ownership dispersal/source diversity",""
"7","000287@2018.nl","div","Whereas diversity in the social scientific debate is often conceptualized
as inclusion of counter-attitudinal information (Pariser, 2011), in computer science it is
considered a necessary design element, often conceptualized as the inclusion of unexpected
items. Diversity is mostly modeled and conceptualized at the input level in computer
science, whereas social scientists analyze diversity primarily at the output level:
Whereas the former study how to optimize the inclusion of surprising or unexpected
items, social scientists focus on the overall output of a recommender system and assess
its diversity (Sørensen & Schmidt, 2016).

In reality, news content diversity is a far richer, and far more complex phenomenon
(see, e.g. Helberger et al., 2018; Sørensen & Schmidt, 2016; Masini et al., 2017;
Napoli, 2015). As Van Cuilenburg (1999) puts it, diversity defines the ‘heterogeneity
of media content in terms of one or more specified characteristics’ (p. 188). In the
context of media policy, diversity is often defined and measured as diversity of
sources in a media market (e.g. The Media Pluralism Monitor in Europe or the
FTC’s controversial Diversity Index; Napoli, 2015; Karppinen, 2013).

More practically, most of the existing approaches
look at media markets in their entirety (external diversity) (Karppinen, 2015), and
less at the diversity within a particular outlet (internal diversity). Obviously, assessing
the diversity of the results of personalized recommendations requires an assessment
at the (internal) level of the recommendation, or respectively the output of a
personalized recommendation1.","Helberger et al., 2018; Sørensen & Schmidt, 2016; Masini et al., 2017;
Napoli, 2015; Van Cuilenburg (1999); Karppinen, 2013; Karppinen, 2015; Pariser, 2011",NA,NA,"diversity of topics",NA,NA
"8","000291@2018.nl","div","As explained by Rennhoff and Wilbur (2014), media diversity is a multidimensional concept because it regards the source of content (for example, how many media companies are active in a specific industry), the characteristics of content (which topics are covered and the space devoted to each topic), and the way content is presented (viewpoint diversity).

The methodology of this paper is similar to that used by George and Gee (2011), who consider the issues covered in news programmes in order to calculate an index of media diversity. However, our contribution differs from previous studies in two respects. Firstly, our concept of “social pluralism” lies between content diversity and viewpoint diversity, since we consider the distribution of the TV airtime across different social actors.","Rennhoff and Wilbur (2014)","content/viewpoint diversity",NA,NA,NA,NA
"9","000341@2018.nl","div","In the following, we first conceptualize the net diversity with regard to the extent to
which a diverse array of information is consumed by individuals and consider prior
works on the digital disparities with regard to various aspects of Internet use and
access (DiMaggio, Hargittai, Neuman, & Robinson, 2001; Neuman, Bimber, &
Hindman, 2011; Van Dijk, 2012).

To examine these issues, we explicate the notion of Internet diversity in
terms of actual use (Hindman, 2008; Napoli, 2011a)","DiMaggio, Hargittai, Neuman, & Robinson, 2001; Neuman, Bimber, &
Hindman, 2011; Van Dijk, 2012; Hindman, 2008; Napoli, 2011a",NA,NA,NA,NA,"Net diversity"
"10","000421@2018.nl","div","Media diversity, a key independent variable in this
study, is concerned with the number of media in a person’s’ repertoire. The greater the
number of media a citizen uses the more the opportunity to be exposed to differing political
opinions and news

not all media are used in the same way and for
the same content, which means that as media diversity increases, there is also an increase
in the diversity of content",NA,NA,NA,NA,"number of media in a person's repertoire",NA
"11","000467@2018.nl","div","By political viewpoint diversity we mean the presentation or representation of two or more political
perspectives in the news: the more political perspectives that are represented, the more
the diversity in the news.

Diversity is sometimes discussed in terms of diverse
media outlets. Also called structural pluralism and outlet diversity, here a diversity of
news organizations is seen as a means to add diverse voices to a marketplace of ideas
(Hallin and Mancini 2004; Napoli 2007).","Hallin and Mancini 2004; Napoli 2007",NA,"political viewpoint diversity",NA,NA,NA
"12","000532@2018.nl","div","News diversity is a multi-faceted construct that is subject to various interpretations.
First, diversity can aim at a multitude of sources. Such source diversity describes the pluralism
of quoted actors’ affiliations or status positions

Yet, source diversity may also depict the variety of news outlets
which are included in a recipient’s news diet, especially in the context of news aggregators
(Thurman 2011). Second, diversity can refer to the variety of covered topics. This
so-called content diversity oftentimes relates to the mere appearance of topics in their
most basic form, such as “public affairs” or “baseball.” Yet, it may also include the multitude
of perspectives, which ideally represent a democracy’s political spectrum of opinions
(Entman and Wildman 1992).

Third, diversity can relate to a variation of
viewpoints (i.e., framing). This viewpoint diversity subsumes available frames on a given
topic and is thus clearly the most demanding type of diversity, both for journalists to produce
and for researchers to measure (Baden and Springer 2015)","Baden and Springer 2015Voakes et al. 1996; Thurman 2011; Entman and Wildman 1992; ",NA,NA,NA,NA,NA
"13","000610@2018.nl","div","As one of the central communication policy goals, diversity refers to the idea that in a democratic society informed citizens collect information about the world from a diverse mix of sources with different viewpoints so that they can make balanced and well-con- sidered decisions.

As we discuss below, there is no commonly accepted definition of exposure diversity or the possible policy objectives behind it, even in aca- demic literature.

Any initiative to promote more diverse exposure to information will first have to deal with the question of what ‘diverse exposure’ actually is. In debates on media diversity, exposure diversity is used to refer to the content that the audience actually selects, as opposed to all the content that is available (McQuail, 1992)

discussions around media diversity have tended to focus primarily on the supply side (the aspects of source and content diversity) and questions of what would characterize a diverse market structure or diverse content offers (Helberger, 2012; Napoli, 1999; Valcke, 2011)

Despite decades of debate on diver- sity as a policy objective, however, there is no consensus on a generally accepted, consist- ent definition of what constitutes ‘diversity’ or ‘pluralism’, even at the level of supply (Karppinen, 2013; Napoli, 1999; Neuberger & Lobgis, 2010; Valcke, 2004)

Firstly, exposure diversity can be defended from the perspective of the traditional liberal ideals of individual autonomy and consumer choice. The possible benchmarks and criteria used to identify the desirable level and form of exposure diversity would thus include aspects such as user satisfaction and awareness of options and choices.

Secondly, exposure to diverse information is commonly justified from the perspective of inclusive public debate. Possible benchmarks and criteria to assess exposure diversity from the deliberative perspective include the reciprocity and inclusive- ness of public discourse – meaning that debates should be open to all and participants should be willing to exchange ideas and viewpoints, and even change their opinion when faced with new arguments or evidence

Thirdly, exposure diversity can also be justified from the perspective of more radical agon- istic or adversarial conceptions of democracy. Exposure diversity can be seen as a corrective to the tendency of public debates to be dominated by existing elites and powerful interests. This is achieved particularly by con- testing the boundaries of mainstream public debate and promoting exposure to critical voices and disadvantaged views that otherwise might be silenced in the public debate (see e.g., Young, 2000)

the modern challenges to the realization of media diversity as a policy goal lie less and less in guaranteeing a diversity of supply, and more in the quest to create the conditions under which users can actually find and choose between diverse content (Burri, 2016; Helberger, 2012; Korthals, 2013, p. 35).

However, these recent discussions again lack a clear normative conception of exposure diversity. Accordingly, acknowledging the need for such a normative discussion to inform not only law and policy-makers but also designers could be the first step. As Bernhard Rie- der (2009, p. 134) remarks, ‘without a clear normative standpoint it is difficult to formulate suggestions about how search ought to work","(McQuail, 1992); Helberger, 2012; Napoli, 1999; Valcke, 2011;Karppinen, 2013; Napoli, 1999; Neuberger & Lobgis, 2010; Valcke, 2004;Young, 2000;Burri, 2016; Helberger, 2012; Korthals, 2013; Rieder (2009)","","different viewpoints","","diverse mix of sources ",""
"14","000837@2017.nl","div","analyse the problem of diversity – cultural diversity, diversity of cultural expressions and pluralism – in the global context

Our perspective in this research is to assess, above all, the dimension of the communicational and cultural diversity of globalisation

Therefore, cultural and media policies cannot be separated because the basic principle of both still is the diversity of sources of information, of media ownership and of the independence of public service.

Will digital media be different from classic media regarding cultural diversity (using the concept in a broad sense) on the cultural, socio-economic and political spectrum? More specifically, in the context of the diversity of voices in the network, of political diversity and “polarisation”

that is in our perspective, to realise the extent to which we can speak of “liberated voices” or of openness to the plurality and diversity of voices of the communities of citizens","","","diversity of voices","","","cultural diversity"
"15","000874@2017.nl","div","Focusing on individual user-level analyses, this article specifically investigates the relationship between audiences’ exposure diversity (Napoli, 2011)—the degree to which audience members expose themselves to diverse and antagonistic viewpoints—and their democratic citizenship, including political knowledge and participation  Defining and measuring media diversity is an important task, but it has proven difficult (Barron, 2000; Einstein, 2004; Entman & Wildman, 1992). Recognizing its importance, Napoli (1999) divided diversity into 1) source diversity, 2) content diversity, and 3) exposure diversity.  Citizens are free to choose from a wide range of ideas (content diversity), delivered from a wide range of sources (source diversity). The citizens then partake of this diversity (exposure diversity) to increase their knowledge, encounter opposing viewpoints, and become well-informed decision-makers who are better capable of fulfilling their democratic responsibilities in a selfgoverning society. (p. 9), this paper empirically examines audiences’ exposure to diverse and antagonistic viewpoints","Wisdom Fund, 1997; Napoli, 2011; Barron, 2000; Einstein, 2004; Entman & Wildman, 1992;Napoli 1999",NA,"Politically diverse; exposure to diverse and antagonistic viewpoints",NA,NA,NA
